id,days,moments,match,raw_elapsed_s,mv_elapsed_s,speedup,raw_rows,mv_rows,raw_sum_convs,mv_sum_convs,raw_sum_scorecards,mv_sum_scorecards,raw_ok,mv_ok,raw_error,mv_error
7d__csat_a,7,csat_a,True,1.187,0.865,1.37,7,7,88.0,88.0,2305.0,2305.0,True,True,,
30d__csat_a,30,csat_a,True,2.731,2.735,1.0,28,28,720.0,720.0,54574.0,54574.0,True,True,,
90d__csat_a,90,csat_a,True,6.573,4.466,1.47,88,88,5735.0,5735.0,267188.0,267188.0,True,True,,
180d__csat_a,180,csat_a,True,21.252,9.747,2.18,177,177,19106.0,19106.0,534523.0,534523.0,True,True,,
7d__csat_b,7,csat_b,True,1.265,0.972,1.3,7,7,88.0,88.0,2305.0,2305.0,True,True,,
30d__csat_b,30,csat_b,True,3.338,2.107,1.58,28,28,720.0,720.0,54574.0,54574.0,True,True,,
90d__csat_b,90,csat_b,True,7.23,6.388,1.13,88,88,5735.0,5735.0,267188.0,267188.0,True,True,,
180d__csat_b,180,csat_b,True,18.003,12.385,1.45,177,177,19106.0,19106.0,534523.0,534523.0,True,True,,
7d__resolved,7,resolved,True,1.086,1.102,0.99,7,7,88.0,88.0,2305.0,2305.0,True,True,,
30d__resolved,30,resolved,True,2.564,2.329,1.1,28,28,720.0,720.0,54574.0,54574.0,True,True,,
90d__resolved,90,resolved,True,6.519,5.168,1.26,88,88,5734.0,5734.0,267178.0,267178.0,True,True,,
180d__resolved,180,resolved,True,16.596,11.741,1.41,178,178,24044.0,24044.0,631129.0,631129.0,True,True,,
7d__conversion,7,conversion,True,1.286,1.061,1.21,7,7,88.0,88.0,2305.0,2305.0,True,True,,
30d__conversion,30,conversion,True,3.226,2.28,1.41,28,28,720.0,720.0,54574.0,54574.0,True,True,,
90d__conversion,90,conversion,True,7.168,5.181,1.38,54,54,3011.0,3011.0,156474.0,156474.0,True,True,,
180d__conversion,180,conversion,True,15.832,12.53,1.26,55,55,3013.0,3013.0,156522.0,156522.0,True,True,,
7d__csat_a+resolved,7,csat_a+resolved,True,1.582,0.989,1.6,7,7,88.0,88.0,2305.0,2305.0,True,True,,
30d__csat_a+resolved,30,csat_a+resolved,True,4.87,2.474,1.97,28,28,720.0,720.0,54574.0,54574.0,True,True,,
90d__csat_a+resolved,90,csat_a+resolved,True,9.484,5.168,1.84,88,88,5734.0,5734.0,267178.0,267178.0,True,True,,
180d__csat_a+resolved,180,csat_a+resolved,True,20.769,12.386,1.68,177,177,19083.0,19083.0,534073.0,534073.0,True,True,,
7d__resolved+conversion,7,resolved+conversion,True,1.303,0.984,1.32,7,7,88.0,88.0,2305.0,2305.0,True,True,,
30d__resolved+conversion,30,resolved+conversion,True,3.978,2.192,1.81,28,28,720.0,720.0,54574.0,54574.0,True,True,,
90d__resolved+conversion,90,resolved+conversion,True,8.794,4.947,1.78,54,54,3011.0,3011.0,156474.0,156474.0,True,True,,
180d__resolved+conversion,180,resolved+conversion,True,18.938,10.032,1.89,55,55,3013.0,3013.0,156522.0,156522.0,True,True,,
7d__csat_a+csat_b+resolved+conversion,7,csat_a+csat_b+resolved+conversion,True,2.112,1.028,2.05,7,7,88.0,88.0,2305.0,2305.0,True,True,,
30d__csat_a+csat_b+resolved+conversion,30,csat_a+csat_b+resolved+conversion,True,5.035,2.141,2.35,28,28,720.0,720.0,54574.0,54574.0,True,True,,
90d__csat_a+csat_b+resolved+conversion,90,csat_a+csat_b+resolved+conversion,True,17.317,4.959,3.49,54,54,3011.0,3011.0,156474.0,156474.0,True,True,,
180d__csat_a+csat_b+resolved+conversion,180,csat_a+csat_b+resolved+conversion,True,29.465,11.097,2.66,55,55,3012.0,3012.0,156498.0,156498.0,True,True,,
